simulation,subject,group_id,question_count,question_start,question_end,shared_context,source_file,source_exam,pages,question_ids
simulacro-1,Lectura Crítica,LEC-reading2026-main-04-05,2,4,5,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p008.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p009.jpg,reading2026:main:04 | reading2026:main:05
simulacro-1,Lectura Crítica,LEC-reading2026-main-09-10,2,9,10,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p011.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p012.jpg,reading2026:main:09 | reading2026:main:10
simulacro-1,Lectura Crítica,LEC-reading2026-main-11-12,1,11,11,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p013.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p014.jpg,reading2026:main:11
simulacro-1,Lectura Crítica,LEC-reading2026-main-13-13,1,13,13,False,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p015.jpg,reading2026:main:13
simulacro-1,Lectura Crítica,LEC-reading2026-main-14-14,1,14,14,False,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p016.jpg,reading2026:main:14
simulacro-1,Lectura Crítica,LEC-reading2026-main-15-16,2,15,16,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p017.jpg,reading2026:main:15 | reading2026:main:16
simulacro-1,Lectura Crítica,LEC-reading2026-main-17-18,2,17,18,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p018.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p019.jpg,reading2026:main:17 | reading2026:main:18
simulacro-1,Lectura Crítica,LEC-reading2026-main-19-20,2,19,20,True,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p020.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p021.jpg,reading2026:main:19 | reading2026:main:20
simulacro-2,Lectura Crítica,LEC-reading2026-main-23-23,1,23,23,False,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p024.jpg,reading2026:main:23
simulacro-2,Lectura Crítica,LEC-reading2026-main-25-25,1,25,25,False,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p026.jpg,reading2026:main:25
