simulation,subject,group_id,question_id,source_file,source_exam,source_question,answer,answer_source,difficulty,solution_status,shared_context,pages,question_text
simulacro-1,Lectura Crítica,LEC-reading2026-main-04-05,reading2026:main:04,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,4,B,official,Media,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p008.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p009.jpg,"8 RESPONDE LAS PREGUNTAS 4 Y 5 DE ACUERDO CON LA SIGUIENTE INFORMACIÓN Instinto en lugar de lógica Cuando llega la hora de poner sus huevos, la avispa Sphex construye una pequeña madriguera para este propósito y sale en la búsqueda de un grillo al cual pica de manera tal que lo paraliza, pero no lo mata. La avispa lleva al grillo a su madriguera, deja sus huevos, cierra la madriguera y luego se va para no volver. Pasado un tiempo, los huevos crecen y la cría de la avispa se alimenta del grillo paralizado que no se descompone debido a que ha permanecido congelado. Para la mente humana, tal rutina tan organizada y aparentemente llena de propósitos lleva consigo un sabor de lógica y de pensamiento. O por lo menos esto es así hasta que conocemos más detalles. Por ejemplo, la rutina de la avispa consiste en llevar al grillo hacia la madriguera, dejarlo en la entrada, ir adentro a revisar que todo esté bien, salir y luego dejar el grillo adentro. Si, mientras la avispa está dentro de la madriguera haciendo su inspección preliminar, el grillo es movido algunos centímetros de la entrada, entonces la avispa, al salir de la madriguera, volverá a dejar al grillo de nuevo en la entrada, pero no adentro, y repetirá el procedimiento preparatorio de entrar a la madriguera a revisar que todo esté bien. Si, de nuevo, el grillo es movido unos centímetros de la entrada, la avispa llevará otra vez al grillo hacia la entrada y volverá a entrar a la madriguera para revisarla. La avispa nunca piensa en llevar al grillo directamente a su madriguera. En una ocasión, este procedimiento fue repetido cuarenta veces, siempre con el mismo resultado. Tomado y adaptado de: Woolridge, Dean E. (1963). The Machinery of the Brain, New York: McGraw-Hill, pp. 82-83. Pregunta 4 ¿Cuál de las siguientes citas refuerza la idea de que el comportamiento de la avispa Sphex no resulta de un proceso de pensamiento racional? A. “La avispa lleva al grillo a su madriguera, deja sus huevos, cierra la madriguera y luego se va para no volver”. B. “La avispa nunca piensa en llevar al grillo directamente a su madriguera. En una ocasión, este procedimiento fue repetido cuarenta veces, siempre con el mismo resultado”. C. “Para la mente humana, tal rutina tan organizada y aparentemente llena de propósitos lleva consigo un sabor de lógica y de pensamiento”. D. “Por ejemplo, la rutina de la avispa consiste en llevar al grillo hacia la madriguera, dejarlo en la entrada, ir adentro a revisar que todo esté bien, salir y luego dejar el grillo adentro”."
simulacro-1,Lectura Crítica,LEC-reading2026-main-04-05,reading2026:main:05,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,5,A,official,Media,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p008.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p009.jpg,"9 Pregunta 5 ¿Cuál de los siguientes enunciados sintetiza el tema principal del texto? A. El comportamiento aparentemente inteligente de la avispa Sphex. B. El papel de los grillos en la alimentación de las avispas Sphex. C. La avispa Sphex como un caso que prueba la inteligencia animal. D. Los métodos de crianza y las precauciones de las avispas Sphex. RESPONDE LAS PREGUNTAS 6 A 8 DE ACUERDO CON EL SIGUIENTE CONTEXTO Máxima emergencia LLAMAR A EMERGENCIAS Informar el lugar del accidente, el número de víctimas, qué les pasó y los síntomas 107 Capital Federal 911/107 Provincia POSICIONAR A LA VÍCTIMA Si está boca abajo, girarla boca arriba. CHEQUEAR SI RESPIRA SI NO RESPIRA HACER RESPIRACIÓN BOCA A BOCA TOMAR EL PULSO SI NO TIENE PULSO HACER MASAJE CARDÍACO SI NO RESPIRA NI TIENE PULSO Elevar el mentón con una mano. Con una mano tapar la nariz y extender la cabeza. Con la otra elevar el mentón. Alternar 2 soplos y 15 compresiones. Efectuar 4 series y chequear si respira y tiene pulso. Controlar cada pocos minutos. Con la otra mano extender la cabeza. Ubicarla en posición de recuperación. Sellar una boca con otra y soplar. Apoyar la otra mano encima Soplar durante dos segundos y dejar salir el aire. Repetir la maniobra dos veces. Acercar el oído a la boca de la víctima, mirar el pecho, escuchar y sentir si respira. Comprimir el tórax entre 4 y 5 cm en forma rítmica 15 veces. SI RESPIRA PASAR AL PASO 5 P E D I R A Y U D A R E A N I M A C I Ó N P U L M O N A R R E A N I M A C I Ó N C A R D Í A CA Fue nte: Aso ciac ión Met rop olit ana de M edi cin a d el De po rte / Co nse jo Nac ion al de Res ucit ació n. I nve stig aci ón: St ella Bi n. I nfo gra fía: PA ULA SI MO NET TI p ara Clar ín SI LA VÍCTIMA REACCIONA Buscar el eje del esternón, colocar el talón de la mano sobre el tórax, dos dedos por encima de la unión de las costillas."
simulacro-1,Lectura Crítica,LEC-reading2026-main-09-10,reading2026:main:09,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,9,A,official,Media,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p011.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p012.jpg,"Pregunta 9 En el fragmento del texto: ""Si llego tarde a casa, sobre el pálido desierto de la mesa lucirá, con suerte, el laguito rojo de un tomate cortado al medio"", ¿para qué se utilizan las expresiones ""pálido desierto de la mesa"" y ""laguito rojo de un tomate""? A. Para resaltar el poco esfuerzo de Diego en la cocina. B. Para explicar por qué Diego no se esforzó en la cocina. C. Para justificar el poco esfuerzo de Diego en la cocina. D. Para ilustrar el buen trabajo de Diego en la cocina."
simulacro-1,Lectura Crítica,LEC-reading2026-main-09-10,reading2026:main:10,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,10,A,official,Fácil,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p011.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p012.jpg,"12 Pregunta 10 En el texto, ¿por qué la narradora finge enojarse cuando Diego le dice que es una buena ama de casa? A. Porque no quiere ser catalogada como ama de casa. B. Porque no es cierto que sea una buena ama de casa. C. Porque no le gusta que la comparen con su mamá. D. Porque no siente afecto por las mujeres que son amas de casa."
simulacro-1,Lectura Crítica,LEC-reading2026-main-11-12,reading2026:main:11,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,11,C,official,Media,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p013.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p014.jpg,"13 RESPONDE LAS PREGUNTAS 11 Y 12 DE ACUERDO CON LA SIGUIENTE INFORMACIÓN Tratado contra el método El conocimiento no consiste en una serie de teorías autoconsistentes que tiende a converger en una perspectiva ideal; no consiste en un acercamiento gradual hacia la verdad. Por el contrario, el conocimiento es un océano, siempre en aumento, de alternativas incompatibles entre sí (y tal vez inconmensurables); toda teoría particular, todo cuento de hadas, todo mito, forman parte del conjunto que obliga al resto a una articulación mayor, y todos ellos contribuyen, por medio de este proceso competitivo, al desarrollo de nuestro conocimiento. No hay nada establecido para siempre, ningún punto de vista puede quedar omitido en una explicación comprehensiva (...). Expertos y profanos, profesionales y diletantes, forjadores de utopías y mentirosos, todos ellos están invitados a participar en el debate y a contribuir al enriquecimiento de la cultura. La tarea del científico no ha de ser por más tiempo “la búsqueda de la verdad”, o “la glorificación de dios”, o “la sistematización de las observaciones” o “el perfeccionamiento de predicciones”. Todas estas cosas no son más que efectos marginales de una actividad a la que se dirige ahora su atención y que consiste en “hacer de la causa más débil la causa más fuerte”, como dijo el sofista, “por ello en apoyar el movimiento de conjunto”. Tomado y adaptado de: Paul Feyerabend (1986). Tratado contra el método. Madrid,: Técnos, pp.14-15. Pregunta 11 ¿Cuál de las siguientes opciones describe mejor la relación entre el contenido del texto y el título? A. El texto introduce la propuesta de un nuevo método para la investigación científica, diferente del tradicional. B. El texto ataca diferentes ideas a propósito de qué es aquello en lo que consiste el llamado “método científico”. C. El texto crítica concepciones del conocimiento científico, el cual se ha concebido como resultado de un método. D. El texto argumenta a favor de la pluralidad de métodos disponibles para que cada ciencia alcance sus verdades."
simulacro-1,Lectura Crítica,LEC-reading2026-main-13-13,reading2026:main:13,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,13,D,official,Fácil,enhanced_guided,False,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p015.jpg,"15 Tomado de: http://www.pinterest.com/pin/256001560040423950/ RESPONDE LA PREGUNTA 13 DE ACUERDO CON LA SIGUIENTE INFORMACIÓN Pregunta 13 En la historieta, el niño intenta justificar el alto precio de la limonada recurriendo a: A. Argumentos absurdos pero consistentes. B. Un modelo económico fiel a la realidad. C. Una ley de mercado que no existe. D. Su propia versión de la economía."
simulacro-1,Lectura Crítica,LEC-reading2026-main-14-14,reading2026:main:14,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,14,B,official,Fácil,enhanced_guided,False,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p016.jpg,"16 Quino. (2011). Tomado de LITERATURA+TECNOLOGÍA+JÓVENES. Recuperado el 29 de enero de 2014, de http://literatura-tecnologia-jovenes.blogspot.com.co/p/quino-y-la-cultura-mediatica.html - LLEGÓ HABLANDO DE COSAS MUY RARAS,...BONDAD, AMOR, TOLERANCIA, CARIDAD, CUANDO AQUI LO QUE NECESITAMOS ES SEGURIDAD, CASA, PAN Y TRABAJO. PERO LO QUE NOS HIZO SOSPECHAR ENSEGUIDA DE ÉL ES QUE NO RECORDAMOS HABERLO VISTO SIQUIERA UNA VEZ EN TELEVISIÓN. RESPONDE LA PREGUNTA 14 DE ACUERDO CON LA SIGUIENTE INFORMACIÓN Pregunta 14 ¿Cuál de los siguientes enunciados describe mejor la caricatura? A. El pueblo hace justicia por su propia mano. B. El linchamiento de un ángel. C. Entrevista con el asesino. D. Un ángel bajó del cielo."
simulacro-1,Lectura Crítica,LEC-reading2026-main-15-16,reading2026:main:15,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,15,B,official,Fácil,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p017.jpg,"RESPONDE LAS PREGUNTAS 15 Y 16 DE ACUERDO CON LA SIGUIENTE INFORMACIÓN Gran Hermano 1984 es una novela futurista que tiene lugar en una sociedad totalitaria. Los ciudadanos de esta sociedad son controlados por una figura omnipresente conocida como el Gran Hermano. En el siguiente apartado, un miembro defensor del orden le explica al protagonista el principal propósito del régimen. No habrá lealtad; no existirá más fidelidad que la que se debe al Partido, ni más amor que el amor al Gran Hermano. No habrá risa, excepto la risa triunfal cuando se derrota a un enemigo. No habrá arte, ni literatura, ni ciencia. No habrá ya distinción entre la belleza y la fealdad. Todos los placeres serán destruidos. Pero siempre, no lo olvides, Winston, siempre habrá el afán de poder, la sed de dominio, que aumentará constantemente y se hará cada vez más sutil. Siempre existirá la emoción de la victoria, la sensación de pisotear a un enemigo indefenso. Si quieres hacerte una idea de cómo será el futuro, figúrate una bota aplastando un rostro humano... incesantemente. Tomado y adaptado de: Orwell, George. 1984. Barcelona: Ediciones Destino. 2008. Pregunta 15 Teniendo en cuenta la información que brinda el texto, ¿cuál de las siguientes afirmaciones es compatible con las políticas del Partido? A. El pueblo debe mantenerse unido. B. La individualidad debe ser eliminada. C. El poder está en ser fiel a uno mismo. D. Un pueblo ignorante es más poderoso."
simulacro-1,Lectura Crítica,LEC-reading2026-main-15-16,reading2026:main:16,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,16,D,official,Fácil,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p017.jpg,"17 Pregunta 16 En el texto, la frase “figúrate una bota aplastando un rostro humano…incesantemente” A. explica los planes para el futuro del régimen. B. ejemplifica las ideas transmitidas al pueblo. C. expone el verdadero propósito del sistema de gobierno. D. ilustra las condiciones de los ciudadanos bajo el régimen."
simulacro-1,Lectura Crítica,LEC-reading2026-main-17-18,reading2026:main:17,16-feb-cuadernillo-de-preguntas-lectura-critica-saber-11-2026.pdf,,17,B,official,Media,enhanced_guided,True,assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p018.jpg | assets/pages/16-feb-cuadernillo-de-preguntas-lectura-critica-saber-1/p019.jpg,"Pregunta 17 En el fragmento tomado del texto: “Las fotografías son la prueba irrecusable de que se hizo la excursión, se cumplió el programa, se gozó del viaje”, ¿cuál de las siguientes palabras es un sinónimo de la palabra ‘irrecusable’? A. Inminente. B. Concluyente. C. Irremplazable. D. Cuestionable."
